General Diciplines,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Agricultural sciences and natural resources,3.91,0.78,3.28,3.28,12.66,3.59,2.03,1.88,10.31,7.81,0.47,2.5,5.78,4.84,5.16,5,1.25,3.44,1.72,2.81,3.13,5,4.22,4.84,3.44,1.25,5.78,0.31,1.56,2.97,1.88,7.66,7.34,1.41,5.63,3.44,3.28,2.97,0.47,1.72,2.66,3.75,13.59,1.88,1.25,6.25,4.69,0.94,4.38,0.78
Biological and biomedical sciences,18.59,0.47,17.5,7.66,152.97,25.94,24.06,5.47,47.66,44.69,2.66,3.28,50.63,30.47,16.88,9.69,12.97,15.63,1.56,40.31,71.56,42.34,22.34,6.09,22.19,5,10.47,4.84,6.09,17.66,5.78,103.75,48.75,3.28,46.56,10.63,14.06,61.88,7.19,11.72,2.34,25.63,94.53,11.56,3.28,27.03,25.63,4.69,26.25,2.66
Computer and information sciences,1.72,0,4.84,2.81,44.53,6.09,3.44,1.41,21.72,14.69,0.47,1.72,19.38,11.41,2.66,1.88,1.25,1.88,0,13.59,21.09,12.19,4.53,0.94,4.38,0.16,0.78,0.31,1.41,10.94,1.25,30.47,9.69,0.31,5.63,1.09,2.5,19.38,1.72,2.03,0.78,3.28,23.59,3.44,0.47,12.19,5.94,0.47,3.28,0.16
Engineering,18.28,0.31,30.94,7.5,169.06,33.91,13.75,8.59,63.75,56.25,1.25,4.84,62.19,61.09,19.53,11.25,9.69,15,2.03,31.25,78.13,59.22,19.69,7.34,32.03,1.41,6.88,4.69,5.31,28.44,9.06,83.13,51.72,5.47,59.53,12.34,15.31,70,5.47,19.69,2.66,23.59,143.44,17.5,1.41,48.59,23.91,6.25,20.78,4.06
"Geosciences, atmospheric, and ocean sciences",1.25,1.72,3.59,0.31,22.81,8.75,2.19,0.63,10.47,2.66,2.03,0.94,4.06,3.44,0.94,0.47,0.31,2.66,0.94,3.59,6.09,3.59,0.94,0.94,1.88,0.63,0.31,2.03,1.09,2.97,2.19,8.59,3.91,0.63,4.38,4.22,2.81,5,1.72,1.09,0.78,0.94,17.34,2.19,0,4.53,5.31,0.47,1.41,1.25
Health sciences,4.69,0,6.41,1.25,27.66,7.19,3.13,0.31,21.41,9.06,0.94,0.63,13.75,8.28,4.53,2.5,6.09,5.47,0.16,15.16,20.63,12.81,31.72,4.38,8.59,0.78,4.22,2.5,0.78,4.38,0.94,21.72,19.38,1.09,13.44,3.28,3.75,19.84,1.41,6.25,1.88,6.56,33.44,4.84,0,11.41,9.06,2.19,10.31,0
Mathematics and statistics,3.44,0,3.91,0.31,36.88,7.19,5.63,1.41,10.78,5.47,0.31,0.31,15.16,11.41,7.19,2.81,2.34,2.81,0,6.09,13.91,12.66,4.06,1.25,4.38,1.25,1.88,0.63,1.41,7.19,1.56,22.66,15.63,0.94,9.06,1.09,2.97,13.28,1.41,2.34,0.16,3.13,24.69,3.44,0.16,6.41,7.34,0.47,8.13,0.31
Multidisciplinary/ interdisciplinary sciences,2.5,0.31,5.47,0.47,29.84,2.03,1.88,0.47,12.66,5.63,0.47,0.63,5.63,6.09,2.97,1.88,1.56,0.63,0,5.16,12.34,5.47,3.28,1.88,2.34,0.16,1.72,1.25,0.16,3.28,0.31,13.59,7.19,0.16,8.28,0.94,1.41,12.5,1.88,0.94,1.25,4.84,14.06,1.09,0.16,7.19,5.78,0.16,1.72,0.16
Physical sciences,7.03,0.31,13.44,3.13,104.38,16.72,15.16,4.38,28.91,16.72,1.41,1.09,42.97,24.06,9.06,5.94,5.31,9.06,1.09,13.44,46.41,30,9.38,5.16,9.53,1.41,3.13,2.66,2.97,14.53,5.31,55.47,22.34,1.56,27.66,5,7.81,36.56,3.91,6.72,2.03,10.78,48.75,6.88,1.25,18.13,15,3.44,16.88,1.41
Psychology,8.91,1.56,9.06,1.72,75.94,9.22,7.03,1.09,26.41,11.09,1.41,1.88,25.31,13.28,6.56,8.75,4.06,4.38,0.78,7.81,18.13,16.25,35.94,6.25,11.25,1.56,3.75,6.41,0.47,5.63,1.72,52.03,14.69,3.75,20.63,8.44,7.34,20.47,1.56,2.81,1.09,10.94,39.22,6.88,1.09,16.88,7.81,3.59,9.84,0.78
Social sciences,2.66,0.63,16.25,2.5,98.13,8.75,15.94,3.28,24.69,16.09,3.44,0.16,43.75,20.94,5.31,6.25,7.66,7.19,0.78,17.66,49.22,26.41,31.88,4.06,8.91,0.78,2.34,3.59,1.25,17.03,3.44,65.78,19.22,0.63,22.34,3.59,9.53,34.53,6.09,4.53,1.25,11.09,40.31,3.13,0.31,20.63,11.41,2.97,15.63,0.31
Business,3.75,0,3.91,2.19,19.69,1.09,3.44,0.31,9.06,5.78,0.78,0,11.88,4.53,3.13,1.72,0.63,4.06,0,3.75,10.16,2.81,16.72,2.5,2.81,0,1.41,1.41,0.31,3.75,0.63,11.88,4.53,1.09,6.25,4.22,2.34,12.34,1.09,2.66,0,1.25,20.31,1.72,0,7.97,3.75,0.16,3.13,0
Education,16.41,0.31,9.53,6.25,30,14.38,1.88,1.41,34.06,10.47,1.72,2.66,13.28,16.56,7.34,6.72,9.06,7.97,0.63,6.56,16.25,25.16,23.13,12.97,8.75,2.03,4.53,5.16,0.78,8.75,7.03,34.06,14.84,4.69,28.91,8.91,5.31,23.28,1.41,6.25,0.31,14.38,59.06,9.22,0.63,29.22,5.47,2.97,8.91,1.25
Humanities,2.19,0,6.72,1.88,52.03,5.16,8.44,1.09,16.41,9.84,2.19,0.47,28.44,19.06,2.66,3.44,7.81,7.03,0.47,8.91,26.72,11.25,4.38,2.19,16.09,1.09,2.03,1.09,1.25,13.44,1.25,50.78,15.78,0.94,17.19,4.22,2.19,25.63,4.06,2.34,0.16,10.78,43.28,2.03,0,9.69,4.84,0.63,9.69,0
Visual and performing arts,0.16,0,6.25,0,18.75,5,2.34,0.31,7.34,1.56,0.47,0,6.72,1.09,0.63,1.09,1.25,1.09,0.16,1.72,5.16,1.09,0.78,0,0.78,0,0.16,0,0,1.72,0,21.09,2.5,0,5.16,2.03,1.41,5.78,0.63,0,0,2.19,6.56,0.16,0,1.88,1.56,2.5,1.25,0
Other,4.53,0.16,5,1.72,25.31,5,3.91,1.09,19.84,8.91,0.78,0.16,12.03,6.56,2.03,3.44,4.38,3.28,0.63,5.47,15.47,13.44,21.25,3.13,4.06,0.16,2.03,0.63,0,5.78,1.41,22.19,11.88,1.41,12.81,2.19,4.22,16.88,0.63,3.28,1.72,4.38,21.25,2.5,0,9.22,4.69,1.72,5.31,0
